ID,Q_ID,Title,Description,Answer
347532,1,@NAMD,i am looking to gain access to namd on nci. my username that i registered with namd is xxx.,"* If you require assistance with NAMD, visit https://opus.nci.org.au/pages/viewpage.action?pageId=248840525
* To get access to NAMD, go to https://my.nci.org.au/mancini/project/namd, click ""join,"" and we'll approve your request.
Note: Please allow approximately 30 minutes for the changes to propagate throughout the system before logging in again."
371904,1,@NAMD,i would like to ask for request for using namd. my username is xxx and my password is xxxx.  my nci user name is xxxx,"* If you require assistance with NAMD, visit https://opus.nci.org.au/pages/viewpage.action?pageId=248840525
* To get access to NAMD, go to https://my.nci.org.au/mancini/project/namd, click ""join,"" and we'll approve your request.
Note: Please allow approximately 30 minutes for the changes to propagate throughout the system before logging in again."
394511,1,@NAMD,i have a username for namd. it is xxx  please can i have access to namd on gadi,"* If you require assistance with NAMD, visit https://opus.nci.org.au/pages/viewpage.action?pageId=248840525
* To get access to NAMD, go to https://my.nci.org.au/mancini/project/namd, click ""join,"" and we'll approve your request.
Note: Please allow approximately 30 minutes for the changes to propagate throughout the system before logging in again."
331916,1,@NAMD,i have submitted a request to use namd. my username for the software is xxxx.,"* If you require assistance with NAMD, visit https://opus.nci.org.au/pages/viewpage.action?pageId=248840525
* To get access to NAMD, go to https://my.nci.org.au/mancini/project/namd, click ""join,"" and we'll approve your request.
Note: Please allow approximately 30 minutes for the changes to propagate throughout the system before logging in again."
396523,1,@NAMD, i have just registered for namd with the username xxx.  can i please have access to namd on gadi?,"* If you require assistance with NAMD, visit https://opus.nci.org.au/pages/viewpage.action?pageId=248840525
* To get access to NAMD, go to https://my.nci.org.au/mancini/project/namd, click ""join,"" and we'll approve your request.
Note: Please allow approximately 30 minutes for the changes to propagate throughout the system before logging in again."
345022,1,@NAMD,i was hoping to get access to the namd installation. my username on the namd site is: xxx,"* If you require assistance with NAMD, visit https://opus.nci.org.au/pages/viewpage.action?pageId=248840525
* To get access to NAMD, go to https://my.nci.org.au/mancini/project/namd, click ""join,"" and we'll approve your request.
Note: Please allow approximately 30 minutes for the changes to propagate throughout the system before logging in again."
283644,1,@NAMD,"i have registered at the namd website under the username xxx, and i would like to request access to namd on gadi.","* If you require assistance with NAMD, visit https://opus.nci.org.au/pages/viewpage.action?pageId=248840525
* To get access to NAMD, go to https://my.nci.org.au/mancini/project/namd, click ""join,"" and we'll approve your request.
Note: Please allow approximately 30 minutes for the changes to propagate throughout the system before logging in again."
340018,1,@NAMD,could you please give me access for namd software as i got to know that i need approval from your side as well to start my simulation  username/email linked with namd: xxx@xxx  gadi username:xxx,"* If you require assistance with NAMD, visit https://opus.nci.org.au/pages/viewpage.action?pageId=248840525
* To get access to NAMD, go to https://my.nci.org.au/mancini/project/namd, click ""join,"" and we'll approve your request.
Note: Please allow approximately 30 minutes for the changes to propagate throughout the system before logging in again."
356215,1,@NAMD,"my username for namd is xxx, please check it.","* If you require assistance with NAMD, visit https://opus.nci.org.au/pages/viewpage.action?pageId=248840525
* To get access to NAMD, go to https://my.nci.org.au/mancini/project/namd, click ""join,"" and we'll approve your request.
Note: Please allow approximately 30 minutes for the changes to propagate throughout the system before logging in again."
293711,1,@NAMD,i have requested access to namd software through the nci portal (username xxxxx).  this email is my confirmation of registration with the namd developers website with the username xxx,"* If you require assistance with NAMD, visit https://opus.nci.org.au/pages/viewpage.action?pageId=248840525
* To get access to NAMD, go to https://my.nci.org.au/mancini/project/namd, click ""join,"" and we'll approve your request.
Note: Please allow approximately 30 minutes for the changes to propagate throughout the system before logging in again."
